STATISTICALLY SIGNIFICANT FINDINGS:

[2021] City_Buffer | Principal_Residence | Vulnerable tracts were associated with 107.49 fewer total apps (≈61% of baseline: 176.66) (R²=0.28, p=5.89e-12)
[2021] Core_NonCity | Principal_Residence | Vulnerable tracts were associated with 93.38 fewer total apps (≈52% of baseline: 178.11) (R²=0.12, p=1.48e-14)
[2020] Core_NonCity | Principal_Residence | Vulnerable tracts were associated with 88.35 fewer total apps (≈48% of baseline: 185.53) (R²=0.10, p=1.31e-11)
[2018] City_Buffer | Principal_Residence | Vulnerable tracts were associated with 85.46 fewer total apps (≈60% of baseline: 143.15) (R²=0.22, p=4.32e-09)
[2018] Core_NonCity | Principal_Residence | Vulnerable tracts were associated with 85.43 fewer total apps (≈51% of baseline: 166.77) (R²=0.12, p=2.16e-14)
[2020] City_Buffer | Principal_Residence | Vulnerable tracts were associated with 84.55 fewer total apps (≈54% of baseline: 157.18) (R²=0.17, p=2.35e-07)
[2019] Core_NonCity | Principal_Residence | Vulnerable tracts were associated with 81.46 fewer total apps (≈48% of baseline: 168.15) (R²=0.10, p=1.67e-12)
[2021] Core_NonCity | Principal_Residence | Gentrifying tracts were associated with 81.19 fewer total apps (≈46% of baseline: 178.11) (R²=0.12, p=0.0179)
[2019] City_Buffer | Principal_Residence | Vulnerable tracts were associated with 74.23 fewer total apps (≈52% of baseline: 141.46) (R²=0.15, p=2.02e-06)
[2021] City_Buffer | Principal_Residence | Gentrifying tracts were associated with 73.07 fewer total apps (≈41% of baseline: 176.66) (R²=0.28, p=0.000292)
[2018] City_Buffer | Principal_Residence | Gentrifying tracts were associated with 65.93 fewer total apps (≈46% of baseline: 143.15) (R²=0.22, p=0.000556)
[2019] City_Buffer | Principal_Residence | Gentrifying tracts were associated with 53.06 fewer total apps (≈38% of baseline: 141.46) (R²=0.15, p=0.0105)
[2020] City_Buffer | Principal_Residence | Gentrifying tracts were associated with 46.64 fewer total apps (≈30% of baseline: 157.18) (R²=0.17, p=0.0308)
[2022] Core_NonCity | Principal_Residence | Vulnerable tracts were associated with 30.79 fewer total apps (≈37% of baseline: 82.97) (R²=0.08, p=1.51e-15)
[2022] City_Buffer | Principal_Residence | Vulnerable tracts were associated with 26.83 fewer total apps (≈33% of baseline: 81.46) (R²=0.10, p=1.33e-05)
[2023] Core_NonCity | Principal_Residence | Vulnerable tracts were associated with 17.28 fewer total apps (≈26% of baseline: 67.71) (R²=0.03, p=3.06e-07)
[2022] City_Buffer | Principal_Residence | Gentrifying tracts were associated with 16.50 fewer total apps (≈20% of baseline: 81.46) (R²=0.10, p=0.046)
[2018] City_Buffer | Investment_Property | Gentrifying tracts were associated with 8.74 more total apps (≈90% of baseline: 9.67) (R²=0.14, p=0.000401)
[2019] Core_NonCity | Investment_Property | Gentrifying tracts were associated with 8.62 more total apps (≈86% of baseline: 10.04) (R²=0.03, p=0.000393)
[2018] City_Buffer | Investment_Property | Vulnerable tracts were associated with 7.39 more total apps (≈76% of baseline: 9.67) (R²=0.14, p=5.71e-05)
[2022] City_Buffer | Investment_Property | Gentrifying tracts were associated with 7.28 more total apps (≈104% of baseline: 7.02) (R²=0.15, p=2.41e-06)
[2018] Core_NonCity | Investment_Property | Gentrifying tracts were associated with 7.00 more total apps (≈62% of baseline: 11.33) (R²=0.02, p=0.0182)
[2023] City_Buffer | Investment_Property | Vulnerable tracts were associated with 6.42 more total apps (≈122% of baseline: 5.26) (R²=0.15, p=2.36e-08)
[2021] City_Buffer | Investment_Property | Gentrifying tracts were associated with 6.09 more total apps (≈45% of baseline: 13.64) (R²=0.05, p=0.0104)
[2019] City_Buffer | Investment_Property | Gentrifying tracts were associated with 5.82 more total apps (≈58% of baseline: 9.96) (R²=0.06, p=0.011)
[2020] Core_NonCity | Investment_Property | Gentrifying tracts were associated with 5.56 more total apps (≈62% of baseline: 9.02) (R²=0.01, p=0.0262)
[2022] City_Buffer | Investment_Property | Vulnerable tracts were associated with 4.98 more total apps (≈71% of baseline: 7.02) (R²=0.15, p=9.82e-06)
[2021] City_Buffer | Second_Residence | Vulnerable tracts were associated with 4.70 fewer total apps (≈64% of baseline: 7.39) (R²=0.16, p=8.69e-06)
[2020] City_Buffer | Investment_Property | Gentrifying tracts were associated with 4.49 more total apps (≈51% of baseline: 8.83) (R²=0.08, p=0.0122)
[2020] City_Buffer | Investment_Property | Vulnerable tracts were associated with 4.17 more total apps (≈47% of baseline: 8.83) (R²=0.08, p=0.00158)
[2019] City_Buffer | Investment_Property | Vulnerable tracts were associated with 4.12 more total apps (≈41% of baseline: 9.96) (R²=0.06, p=0.0146)
[2021] City_Buffer | Second_Residence | Gentrifying tracts were associated with 3.84 fewer total apps (≈52% of baseline: 7.39) (R²=0.16, p=0.00559)
[2023] Core_NonCity | Investment_Property | Gentrifying tracts were associated with 3.42 more total apps (≈60% of baseline: 5.70) (R²=0.02, p=0.00998)
[2018] City_Buffer | Second_Residence | Vulnerable tracts were associated with 2.53 fewer total apps (≈55% of baseline: 4.62) (R²=0.11, p=0.000508)
